id,opened,opened_ms,kind,coin,round,side,price,qty,stake,fee,fair,t_left,settled,settled_ms,winner,payout,pnl,pnl_pct,result,resolved_by
148,2026-09-23 23:21:44,1790198504739,fair,btc,1790198100,Down,0.6,5.0122,3.0915,0.0842,0.6649,496,2026-09-23 23:35:00,1790199300048,Up,0.0,-3.0915,-100.0,lost,polymarket
150,2026-09-23 23:28:29,1790198909762,diparb_leg1,btc,1790198100,Down,0.08,20.0,1.70304,0.10304,,91,2026-09-23 23:35:00,1790199300049,Up,0.0,-1.703,-100.0,lost,polymarket
149,2026-09-23 23:27:59,1790198879731,fair,eth,1790198100,Down,0.23,5.0,1.212,0.062,0.2867,121,2026-09-23 23:35:00,1790199300266,Up,0.0,-1.212,-100.0,lost,polymarket
151,2026-09-23 23:28:24,1790198904793,diparb_leg1,eth,1790198100,Down,0.22,20.0,4.64024,0.24024,,96,2026-09-23 23:35:00,1790199300267,Up,0.0,-4.6402,-100.0,lost,polymarket
152,2026-09-23 23:35:14,1790199314799,fair,btc,1790199000,Up,0.71,3.9706,2.8763,0.0572,0.8255,586,2026-09-23 23:50:00,1790200200054,Up,3.9706,1.0943,38.05,won,polymarket
153,2026-09-23 23:35:14,1790199314801,fair,eth,1790199000,Up,0.71,3.9666,2.8735,0.0572,0.8389,586,2026-09-23 23:50:00,1790200200264,Up,3.9666,1.0931,38.04,won,polymarket
154,2026-09-23 23:46:59,1790200019896,fair,btc,1790199900,Up,0.48,5.7704,2.8706,0.1008,0.5719,781,2026-09-24 00:05:00,1790201100128,Down,0.0,-2.8706,-100.0,lost,polymarket
155,2026-09-23 23:54:09,1790200449864,fair,eth,1790199900,Down,0.36,7.9246,2.9807,0.1278,0.4167,351,2026-09-24 00:05:00,1790201100320,Down,7.9246,4.9439,165.86,won,polymarket
156,2026-09-23 23:58:44,1790200724859,diparb_leg1,eth,1790199900,Up,0.24,20.0,5.055360000000001,0.2553600000000001,,76,2026-09-24 00:05:00,1790201100321,Down,0.0,-5.0554,-100.0,lost,polymarket
158,2026-09-24 00:02:19,1790200939888,fair,btc,1790200800,Up,0.65,4.4593,2.9695,0.071,0.7064,761,2026-09-24 00:21:00,1790202060189,Up,4.4593,1.4898,50.17,won,polymarket
157,2026-09-24 00:01:04,1790200864899,fair,eth,1790200800,Down,0.53,5.4331,2.9743,0.0947,0.6117,836,2026-09-24 00:21:00,1790202060383,Up,0.0,-2.9743,-100.0,lost,polymarket
159,2026-09-24 00:16:10,1790201770000,fair,eth,1790201700,Up,0.38,7.7709,3.0811,0.1282,0.4565,831,2026-09-24 00:34:00,1790202840393,Down,0.0,-3.0811,-100.0,lost,polymarket
160,2026-09-24 00:17:09,1790201829996,fair,btc,1790201700,Up,0.4,7.3769,3.0747,0.1239,0.4641,771,2026-09-24 00:36:00,1790202960240,Down,0.0,-3.0747,-100.0,lost,polymarket
